ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
0.4325,-1.0761,3.0065,1023,1023,1023,1023,1023
0.0558,0.0634,0.0024,1016,860,947,1023,958
0.0463,0.0508,0.0101,1023,921,927,1023,990
1.2338,-0.0507,0.482,1023,1023,1023,1023,1023
-0.3577,0.0288,-0.459,1023,1023,1023,1023,1023
-0.5788,-0.0343,-0.0599,1023,1023,1023,1023,1023
0.0625,0.0622,0.0161,1023,948,966,1023,995
0.0554,0.0739,0.0024,1022,887,932,1023,979
0.068,0.0601,-0.0092,1023,982,990,1023,1023
0.4116,0.3356,-0.1141,1023,1023,1023,1023,1023
-0.1421,-0.0178,-0.0825,1023,1023,1023,1023,1023
-0.0585,0.06,0.1999,1023,1023,1023,1023,1023
0.063,0.0709,0.0083,1023,1013,1010,1023,1016
0.0665,0.0681,0.0045,1013,843,941,1023,975
1.2726,-0.067,0.3576,1023,1023,1023,1023,1023
0.3295,-0.1474,0.6148,1023,1023,1023,1023,1023
-0.463,0.161,-0.1232,1023,1023,1023,1023,1023
-0.5055,-0.1167,-0.4257,1023,1023,1023,1023,1023
0.0372,0.0513,0.0315,1023,956,962,1023,990
0.0496,0.0585,-0.0114,1009,875,922,1023,977
0.0591,0.0562,-0.0093,1019,862,934,1023,967
0.1056,0.0529,-0.03,1023,982,1023,1023,1023
0.585,0.3068,0.2812,1023,1023,1023,1023,1023
-0.4617,0.3557,-0.532,1023,1023,1023,1023,1023
0.0003,0.0727,0.1714,1023,1018,1020,1023,1023
0.068,0.0497,0.0104,1012,871,921,1023,952
0.063,0.0517,0.0026,1023,876,928,1023,965
0.0598,0.0588,0.0044,1023,913,955,1023,1003
0.1923,0.1336,0.3929,1023,1023,1023,1023,1023
0.3263,-0.0027,-0.3389,1023,1023,1023,1023,1023
0.0417,0.0763,-0.0038,1007,853,921,1023,977
0.0632,0.0708,-0.0054,1017,868,928,1023,986
-0.4533,0.4772,-0.0636,1023,1023,1023,1023,1023
0.0397,-0.303,-0.3151,1023,1023,1023,1023,1023
0.0593,0.0458,0.0005,1023,942,988,1023,993
0.0657,0.055,0.0123,1020,890,939,1023,944
0.0771,0.0536,0.0028,1023,896,940,1023,964
0.0721,0.06,0.0085,1023,970,956,1023,1008
0.1699,-0.0814,0.3523,1023,1023,1023,1023,1023
0.6417,0.1439,3.0057,1023,1023,1023,1023,1023
0.0598,0.0545,-0.0054,1017,892,912,1023,967
0.0677,0.0409,0.0027,1023,895,925,1023,984
0.5935,0.172,0.0865,1023,1023,1023,1023,1023
-0.3175,0.0576,-0.4195,1023,1023,1023,1023,1023
0.0663,0.0593,-0.0092,1023,982,980,1023,1010
0.054,0.0626,-0.0015,1011,904,898,1023,960
0.063,0.0665,0.0005,1009,898,900,1023,985
0.653,0.7066,-0.0374,1023,1023,1023,1023,1023
-0.1315,0.122,0.4232,1023,1023,1023,1023,1023
0.0493,0.0585,0.0081,1023,950,951,1023,977
0.0485,0.0559,-0.0016,1015,883,924,1023,963
0.0537,0.0538,-0.0074,1023,927,910,1023,980
0.1187,-0.0011,-0.0316,1023,994,1023,1023,1023
0.0269,-0.251,0.3311,1023,1023,1023,1023,1023
-0.159,-0.2144,-0.0254,1023,1023,1023,1023,1023
0.0591,0.0562,-0.0073,1023,990,1013,1023,1010
0.0647,0.0481,-0.0072,1014,886,925,1023,959
0.0603,0.0483,-0.0034,1020,888,921,1023,967
