ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
-0.1771,0.1772,0.1487,1023,1023,1023,1023,1023
-0.4178,-0.0783,0.519,1023,1023,1023,1023,969
0.0056,0.0084,0.0096,1023,772,991,1023,765
0.0038,0.0092,-0.0412,989,653,1023,1023,881
-0.1099,-0.0624,0.1155,1023,692,1023,1023,1023
0.5667,0.177,0.3537,1023,1023,1023,1023,1023
-2.5318,-0.3248,-0.7337,1023,1023,1023,1023,1023
0.0039,0.0164,0.0271,1023,816,1007,1023,735
0.0324,-0.0392,0.0375,954,618,1023,1023,1023
-2.1065,-1.0684,0.7189,1023,1023,1023,1023,1023
-0.0052,0.0142,-0.0082,1023,945,985,1023,735
0.0188,-0.0088,0.0528,1008,760,1023,1023,847
1.2844,0.2102,0.1517,1023,1023,1023,1023,1023
-1.568,-1.1849,0.6436,1023,1023,1023,1023,1023
-0.0365,-0.0931,-0.1997,1023,1005,984,1023,796
0.0178,0.0096,0.0098,1006,737,1023,1023,879
0.0295,-0.0172,0.0159,900,621,1023,1023,1023
-0.8223,-0.6754,1.1925,1023,1023,1023,1023,1023
0.0055,0.0233,0.0037,1004,796,1023,1023,805
0.0242,-0.0257,0.0529,929,650,1023,1023,995
-0.6733,-0.3759,1.5728,1023,947,1023,1023,1023
-3.0821,-0.5949,-1.2629,1023,1023,1023,1023,1023
0.0125,0.0116,0.0214,1020,828,1012,1023,731
0.0118,0.0238,-0.006,968,680,1023,1023,918
0.2341,0.1229,0.3585,894,648,1023,1023,1023
1.4984,-0.6604,0.1111,1023,1023,1023,1023,1023
-2.171,-0.1697,0.0175,1023,1023,1023,1023,1023
-0.0138,0.013,0.0366,1023,968,955,1023,726
0.0125,0.0072,0.0058,954,771,1021,1023,881
0.0055,-0.0257,0.0155,869,633,1023,1023,1023
1.6664,0.2052,0.5952,1023,1023,1023,1023,1023
-1.2209,-0.7381,1.3077,1023,1023,1023,1023,1023
0.0307,-0.0103,0.0198,991,878,966,1023,831
-0.4096,-0.2735,2.9908,1023,944,1023,1023,1023
-2.2352,-0.3265,-0.6861,1023,1023,1023,1023,1023
-0.0143,0.0103,-0.0005,1006,851,970,1023,745
-0.006,-0.0093,0.0212,933,706,1023,1023,909
0.1233,-0.01,0.2517,929,639,1023,1023,1023
0.6915,-0.0239,0.1727,1023,1023,1023,1023,1023
-1.8453,0.0814,-0.0291,1023,1023,1023,1023,1023
0.0061,0.0022,0.0096,981,747,1023,1023,881
0.0045,0.0014,-0.0021,940,639,1023,1023,1023
1.5368,0.359,-0.3019,1023,1023,1023,1023,1023
-1.4655,-0.9072,0.4684,1023,1023,1023,1023,1023
-0.1079,-0.761,1.6004,1023,1023,1003,1023,820
0.0036,0.0077,0.0154,977,684,1023,1023,883
0.0779,-0.239,0.4588,1023,1023,1023,1023,1023
-1.8136,-0.0278,-0.3994,1023,1023,1023,1023,1023
-0.0952,0.0004,-0.0036,1001,795,981,1023,741
0.2294,0.0598,0.2336,932,724,1023,1023,1023
1.033,-0.4225,0.1539,1023,1023,1023,1023,1023
-1.485,-0.3036,0.4622,1023,1023,1023,1023,1023
-0.0565,-0.0104,-0.0011,1022,924,989,1023,781
-0.0845,-0.0291,0.0005,914,686,1023,1023,947
-0.0448,-0.0223,0.0011,918,644,1023,1023,1023
1.3754,-0.9543,-0.6302,1023,1023,1023,1023,1023
-0.0789,-0.0135,0.0201,1017,804,1023,1023,925
-0.0944,-0.0356,-0.0055,974,675,1023,1023,944
-0.2264,0.0411,0.0176,953,705,1023,1023,1023
1.1151,-0.3928,-0.2473,1023,1023,1023,1023,1023
-1.09,-0.8588,0.769,1023,1023,1023,1023,1023
0.0471,-0.0033,-0.0014,978,802,990,1023,850
0.0331,0.014,-0.0017,978,621,1023,1023,1023
1.4403,0.5218,0.577,1023,1023,1023,1023,1023
-0.1225,0.1369,-0.5027,1023,1015,1021,1023,888
0.0004,0.0104,0.0114,1022,768,1018,1023,825
0.0099,0.0038,-0.004,982,659,1023,1023,973
-0.391,0.0984,0.3723,1023,1023,1023,1023,1023
-2.2238,0.9691,-0.6571,1023,1023,1023,1023,1023
0.0047,0.0058,-0.0021,960,659,1023,1023,990
-0.368,-0.4023,2.3824,1023,923,1023,1023,1023
0.1062,0.3863,0.3263,1023,1023,1023,1023,1023
0.0269,-0.0014,0.0139,1011,778,1023,1023,775
0.0177,0.0304,-0.0274,960,693,1023,1023,931
-0.0081,-0.1001,0.4199,1023,770,1023,1023,1023
0.2027,0.4557,0.2573,1023,1023,1023,1023,1023
0.0049,-0.0002,0.0252,1023,891,1001,1023,734
0.1294,-0.1674,0.0296,972,626,1023,1023,1023
0.7666,-0.1461,-0.6052,1023,1023,1023,1023,1023
0.007,-0.0517,0.1113,1023,970,1016,1023,809
0.0116,0.0089,0.0116,1023,778,1023,1023,831
0.0386,-0.0133,0.0063,1014,693,1023,1023,960
1.6622,-0.5664,0.3946,1023,1023,1023,1023,1023
-1.7639,-0.0334,-0.5724,1023,1023,1023,1023,1023
0.0038,0.0076,0.0057,1023,887,969,1023,777
0.0053,-0.0003,-0.0041,1007,697,1023,1023,859
0.1957,0.2137,0.2541,1023,1023,1023,1023,1023
0.0141,0.008,0.0194,1023,922,977,1023,754
0.0208,-0.002,0.004,1007,786,1015,1023,847
0.0063,-0.0126,0.0077,901,634,1023,1023,1023
1.2191,-0.1654,-0.6293,1023,1023,1023,1023,1023
0.1252,-0.4044,-1.085,1023,1023,983,1023,941
0.0298,-0.0024,-0.0057,976,672,1023,1023,914
-0.2332,0.9718,0.5887,1023,1023,1023,1023,1023
-2.4904,-0.4427,-0.9085,1023,1023,1023,1023,1023
-0.0023,0.0115,0.0134,1023,964,971,1023,728
0.0081,0.0074,0.0077,1023,839,1003,1023,758
-0.0125,-0.0973,0.0429,935,622,1023,1023,1023
1.0269,-0.2127,-0.345,1023,1023,1023,1023,1023
-1.0288,-0.4262,0.8232,1023,1023,1023,1023,1023
0.0061,0.0067,0.0271,1023,852,999,1023,849
2.5605,0.6838,2.18,1023,1023,1023,1023,1023
-0.4482,0.023,0.8795,1023,1023,1023,1023,1023
-0.71,-0.0086,0.4576,1023,1023,1023,1023,1023
0.0163,-0.0018,0.0176,1023,960,986,1023,727
0.2497,0.0029,0.2634,977,641,1023,1023,1023
1.1007,-0.1403,0.031,1023,1023,1023,1023,1023
-1.4066,-0.8332,0.7954,1023,1023,1023,1023,1023
-0.4056,0.0148,1.6049,1023,1023,971,1023,818
0.0202,-0.0003,-0.0077,975,714,1023,1023,919
1.1915,1.0836,0.9053,1023,1023,1023,1023,1023
-0.1868,-0.2219,0.5543,1023,1023,1023,1023,1023
0.0208,0.0085,-0.0078,1023,789,1023,1023,771
-0.0508,-0.1289,0.265,1023,700,1023,1023,1023
-2.5759,0.5304,-0.3036,1023,1023,1023,1023,1023
0.006,0.0215,0.0213,1023,755,1023,1023,849
1.2711,-0.4814,-0.3891,1023,1023,1023,1023,1023
-0.6951,-0.6694,0.9054,1023,1023,1023,1023,1023
0.0597,0.4001,0.3197,1023,1023,1023,1023,1023
0.0294,0.0036,-0.0193,1005,690,1023,1023,948
0.261,0.0349,-0.0217,1023,1023,1023,1023,1023
0.0128,-0.0033,0.0117,1023,952,1001,1023,762
0.02,0.0147,0.002,1023,799,1016,1023,830
1.5853,0.206,1.0315,1023,1023,1023,1023,1023
-0.5641,-0.4883,1.11,1023,1023,1023,1023,1023
0.0115,0.1339,0.9801,1023,1023,1023,1023,1023
0.014,-0.0007,-0.0019,1023,918,990,1023,786
0.1253,-0.2132,0.5318,1023,732,1023,1023,1023
-0.1023,0.3781,0.5458,1023,1023,1023,1023,1023
-1.6111,0.3785,-0.0127,1023,1023,1023,1023,1023
0.0053,0.0233,0.0115,1023,925,995,1023,775
0.0248,-0.017,0.0432,985,707,1023,1023,939
